Equity Holding,Shares,Market Value,Country
Banca Monte dei Paschi di Siena SpA,5844000,5000000,Italy
Banca Popolare di Milano Scarl,24500000,32000000,Italy
Banco Bilbao Vizcaya Argentaria SA,8883000,114000000,Spain
Banco Bilbao Vizcaya Argentaria SA Right,9521000,2000000,Spain
Banco Bradesco SA,904000,11000000,Brazil
Banco Bradesco SA Depositary Receipt,3529000,41000000,Brazil
Banco Comercial Portugues SA,45916000,6000000,Portugal
Banco Davivienda SA Preference,187000,2000000,Colombia
Banco Popolare SC,423000,8000000,Italy
Banco Popular Espanol SA,2064000,13000000,Spain
Banco Santander Brasil SA,752000,4000000,Brazil
Banco Santander Chile,15442000,1000000,Chile
Banco Santander Chile Depositary Receipt,272000,7000000,Chile
Banco Santander SA,21724000,207000000,Spain
Banco Santander SA Depositary Receipt,264000,2000000,Spain
Banco de Chile Depositary Receipt,65000,6000000,Chile
Banco de Credito e Inversiones,80000,5000000,Chile
Banco do Brasil SA,1554000,14000000,Brazil
Bancolombia SA Depositary Receipt,314000,16000000,Colombia
Bandai Namco Holdings Inc,782000,19000000,Japan
Bangkok Bank PCL,969000,7000000,Thailand
Bangkok Dusit Medical Services PCL,7866000,6000000,Thailand
Bank Central Asia Tbk PT,22953000,33000000,Indonesia
Bank Danamon Indonesia Tbk PT,5400000,3000000,Indonesia
Bank Handlowy w Warszawie SA,59000,2000000,Poland
Bank Hapoalim BM,406000,2000000,Israel
Bank Leumi Le-Israel BM,534000,3000000,Israel
Bank Mandiri Persero Tbk PT,15158000,18000000,Indonesia
Bank Millennium SA,884000,2000000,Poland
Bank Negara Indonesia Persero Tbk PT,12948000,9000000,Indonesia
Bank Pekao SA,251000,15000000,Poland
Bank Rakyat Indonesia Persero Tbk PT,17615000,23000000,Indonesia
Bank Zachodni WBK SA,52000,6000000,Poland
Bank of America Corp,21127000,412000000,United States
Bank of Ayudhya PCL,3761000,6000000,Thailand
Bank of Ayudhya PCL Depositary Receipt,900000,1000000,Thailand
Bank of Beijing Co Ltd,2984000,7000000,China
Bank of China Ltd A,3022000,3000000,China
Bank of China Ltd H,46310000,34000000,China
Bank of Communications Co Ltd A,10318000,13000000,China
Bank of Communications Co Ltd H,14299000,16000000,China
Bank of East Asia Ltd/The,949000,5000000,Hong Kong
Bank of Ireland,42489000,20000000,Ireland
Bank of Kyoto Ltd/The,789000,10000000,Japan
Bank of New York Mellon Corp/The,2215000,113000000,United States
Bank of Yokohama Ltd/The,1833000,14000000,Japan
Bank of the Philippine Islands,2750000,8000000,Philippines
Bankia SA,3608000,6000000,Spain
Banpu PCL,1311000,2000000,Thailand
Banque Centrale Populaire,103000,3000000,Morocco
Baoshan Iron & Steel Co Ltd,1757000,3000000,China
Barclays Africa Group Ltd,588000,11000000,South Africa
Barclays PLC,7148000,33000000,United Kingdom
Barloworld Ltd,373000,4000000,South Africa
Batu Kawan Bhd,379000,2000000,Malaysia
Bayer AG,1263000,239000000,Germany
Bayerische Motoren Werke AG Preference,16000,2000000,Germany
Becton Dickinson and Co,67000,12000000,United States
Bed Bath & Beyond Inc,162000,16000000,United States
Beijing Capital International Airport Co Ltd,1410000,2000000,China
Beijing Enterprises Holdings Ltd,337000,3000000,China
Beijing Enterprises Water Group Ltd,4904000,4000000,China
Beijing Zhong Ke San Huan High-Tech Co Ltd,451000,2000000,China
Belgacom SA,422000,19000000,Belgium
Belle International Holdings Ltd,2838000,4000000,China
Bemis Co Inc,348000,20000000,United States
Bendigo & Adelaide Bank Ltd,481000,6000000,Australia
Benesse Holdings Inc,239000,10000000,Japan
Berjaya Sports Toto Bhd,1627000,2000000,Malaysia
Berkshire Hathaway Inc,3618000,661000000,United States
Berli Jucker PCL,809000,1000000,Thailand
BesTV New Media Co Ltd,307000,3000000,China
Bidvest Group Ltd/The,540000,19000000,South Africa
Big C Supercenter PCL,419000,4000000,Thailand
Big C Supercenter PCL Depositary Receipt,650000,6000000,Thailand
Big Lots Inc,313000,19000000,United States
Bill Barrett Corp,131000,1000000,United States
BioMarin Pharmaceutical Inc,72000,11000000,United States
Biogen Inc,114000,61000000,United States
BlackRock Inc,237000,110000000,United States
Bloomberry Resorts Corp,6293000,2000000,Philippines
Boeing Co/The,159000,30000000,United States
Boral Ltd,739000,5000000,Australia
Boskalis Westminster NV,473000,29000000,Netherlands
Boston Properties Inc,308000,55000000,United States
Boston Scientific Corp,768000,17000000,United States
Boustead Holdings Bhd,761000,1000000,Malaysia
Brait SE,502000,4000000,South Africa
Brambles Ltd,1253000,14000000,Australia
Braskem SA Depositary Receipt,156000,1000000,Brazil
Bridgestone Corp,1493000,76000000,Japan
Brilliance China Automotive Holdings Ltd,1344000,3000000,China
Brinker International Inc,134000,10000000,United States
Bristol-Myers Squibb Co,804000,66000000,United States
British American Tobacco Malaysia Bhd,184000,4000000,Malaysia
British American Tobacco PLC,1827000,120000000,United Kingdom
BroadSoft Inc,128000,5000000,United States
Broadcom Corp,1722000,94000000,United States
Brocade Communications Systems Inc,1545000,23000000,United States
Brother Industries Ltd,1317000,27000000,Japan
Brunswick Corp/DE,85000,6000000,United States
Bumi Armada Bhd,2984000,1000000,Malaysia
Bumi Serpong Damai Tbk PT,13991000,3000000,Indonesia
Bumrungrad Hospital PCL,370000,2000000,Thailand
Bunge Ltd,376000,39000000,United States
Bunzl PLC,543000,19000000,United Kingdom
Burberry Group PLC,339000,11000000,United Kingdom
Bursa Malaysia Bhd,542000,2000000,Malaysia
Byd Co Ltd,387000,3000000,China
CA Immobilien Anlagen AG,111000,3000000,Austria
CA Inc,113000,5000000,United States
CACI International Inc,140000,16000000,United States
CAR Inc,605000,1000000,China
CBRE Group Inc,607000,30000000,United States
CCR SA,1210000,8000000,Brazil
CEZ AS,309000,10000000,Czech Republic
CF Industries Holdings Inc,23000,8000000,United States
CGN Power Co Ltd,6046000,3000000,China
CH Robinson Worldwide Inc,114000,11000000,United States
CIMB Group Holdings Bhd,6401000,14000000,Malaysia
CIMIC Group Ltd,184000,4000000,Australia
CIT Group Inc,375000,21000000,United States
CITIC Ltd,3588000,8000000,China
CITIC Securities Co Ltd A,3889000,26000000,China
CJ CheilJedang Corp,12000,5000000,South Korea
CJ Corp,22000,4000000,South Korea
CJ Korea Express Co Ltd,12000,3000000,South Korea
CK Hutchison Holdings Ltd,2492000,65000000,Hong Kong
CME Group Inc/IL,633000,76000000,United States
CMS Energy Corp,131000,6000000,United States
CNA Financial Corp,56000,3000000,United States
CNOOC Ltd,11897000,21000000,China
CNP Assurances,901000,20000000,France
COLOPL Inc,115000,3000000,Japan
COMSYS Holdings Corp,283000,4000000,Japan
COSCO Pacific Ltd,1100000,2000000,China
CP ALL PCL,8341000,13000000,Thailand
CP ALL PCL Depositary Receipt,658000,1000000,Thailand
CPFL Energia SA,627000,5000000,Brazil
CPFL Energia SA Depositary Receipt,115000,2000000,Brazil
CR Bard Inc,29000,6000000,United States
CSPC Pharmaceutical Group Ltd,1406000,2000000,China
CSR Corp Ltd A,1972000,7000000,China
CSR Corp Ltd H,1149000,2000000,China
CSX Corp,340000,14000000,United States
CTBC Financial Holding Co Ltd,30486000,26000000,Taiwan
CTCI Corp,1811000,4000000,Taiwan
CVS Health Corp,1865000,244000000,United States
Cabot Oil & Gas Corp,347000,13000000,United States
Cadence Design Systems Inc,297000,7000000,United States
Caesarstone Sdot-Yam Ltd,57000,4000000,Israel
Cahya Mata Sarawak Bhd,885000,1000000,Malaysia
CaixaBank SA,1995000,12000000,Spain
Calbee Inc,532000,29000000,Japan
Calpine Corp,538000,16000000,United States
Cameron International Corp,340000,19000000,United States
Campbell Soup Co,65000,4000000,United States
Canon Inc,3281000,147000000,Japan
Canon Marketing Japan Inc,329000,8000000,Japan
Cap Gemini SA,41000,4000000,France
CapitaCommercial Trust,4230000,7000000,Singapore
CapitaLand Ltd,5595000,18000000,Singapore
CapitaMall Trust,3503000,7000000,Singapore
Capital One Financial Corp,958000,96000000,United States
Capital Securities Corp,4144000,2000000,Taiwan
Capitec Bank Holdings Ltd,91000,5000000,South Africa
Cardinal Health Inc,214000,24000000,United States
Carlsberg A/S,98000,10000000,Denmark
Carnival Corp,7475000,453000000,United States
Carrefour SA,682000,29000000,France
Casetek Holdings Ltd,237000,2000000,Taiwan
Casio Computer Co Ltd,983000,24000000,Japan
Catalent Inc,317000,13000000,United States
Catcher Technology Co Ltd,1239000,16000000,Taiwan
Caterpillar Inc,586000,59000000,United States
Cathay Financial Holding Co Ltd,17927000,36000000,Taiwan
Cathay No 1 REIT,2269000,2000000,Taiwan
Cathay Real Estate Development Co Ltd,1966000,1000000,Taiwan
Celanese Corp,136000,10000000,United States
Celgene Corp,477000,70000000,United States
Cemex SAB de CV,23502000,28000000,Mexico
Cencosud SA,2298000,7000000,Chile
Centamin PLC,5016000,5000000,Jersey
Centene Corp,269000,24000000,United States
CenterPoint Energy Inc,158000,4000000,United States
Centrais Eletricas Brasileiras SA Depositary Receipt,497000,1000000,Brazil
Centrais Eletricas Brasileiras SA Depositary ReceiptPreference,427000,1000000,Brazil
Central Japan Railway Co,615000,141000000,Japan
Central Pattana PCL,2279000,4000000,Thailand
Century Tokyo Leasing Corp,377000,15000000,Japan
CenturyLink Inc,1539000,67000000,United States
Cerner Corp,33000,3000000,United States
Chailease Holding Co Ltd,1555000,5000000,Taiwan
Champion REIT,6095000,4000000,Hong Kong
Chang Hwa Commercial Bank Ltd,5354000,4000000,Taiwan
Charles Schwab Corp/The,2202000,85000000,United States
Charoen Pokphand Foods PCL,3932000,3000000,Thailand
Charoen Pokphand Foods PCL Depositary Receipt,1795000,2000000,Thailand
Charoen Pokphand Indonesia Tbk PT,12059000,4000000,Indonesia
Chart Industries Inc,94000,4000000,United States
Charter Communications Inc,7000,2000000,United States
Check Point Software Technologies Ltd,359000,37000000,Israel
Cheesecake Factory Inc/The,213000,13000000,United States
Cheil Industries Inc,89000,15000000,South Korea
Cheng Shin Rubber Industry Co Ltd,2167000,6000000,Taiwan
Cheniere Energy Inc,46000,5000000,United States
Cheung Kong Infrastructure Holdings Ltd,97000,1000000,Hong Kong
Chevron Corp,1221000,162000000,United States
Chiba Bank Ltd/The,802000,7000000,Japan
Chico's FAS Inc,276000,6000000,United States
Chicony Electronics Co Ltd,1141000,4000000,Taiwan
Children's Place Inc/The,132000,11000000,United States
China Airlines Ltd,4931000,3000000,Taiwan
China Banking Corp,845000,1000000,Philippines
China BlueChemical Ltd,6437000,3000000,China
China CITIC Bank Corp Ltd,7487000,7000000,China
China CNR Corp Ltd A,1805000,7000000,China
China CNR Corp Ltd H,1153000,2000000,China
China CSSC Holdings Ltd,280000,3000000,China
China Cinda Asset Management Co Ltd,7551000,5000000,China
China Communications Construction Co Ltd,1854000,3000000,China
China Communications Services Corp Ltd,1803000,1000000,China
China Conch Venture Holdings Ltd,842000,2000000,China
China Construction Bank Corp A,4615000,6000000,China
China Construction Bank Corp H,59213000,62000000,China
China Development Financial Holding Corp,30981000,14000000,Taiwan
China Everbright Bank Co Ltd,8584000,8000000,China
China Everbright Ltd,557000,2000000,China
China International Marine Containers Group Co Ltd,789000,2000000,China
China Life Insurance Co Ltd A,765000,6000000,China
China Life Insurance Co Ltd H,4053000,22000000,China
China Life Insurance Co Ltd/Taiwan,4299000,5000000,Taiwan
China Medical System Holdings Ltd,780000,2000000,China
China Mengniu Dairy Co Ltd,284000,2000000,China
China Merchants Bank Co Ltd A,7690000,24000000,China
China Merchants Bank Co Ltd H,2698000,8000000,China
China Merchants Holdings International Co Ltd,1161000,6000000,China
China Minsheng Banking Corp Ltd A,13100000,26000000,China
China Minsheng Banking Corp Ltd H,5193000,8000000,China
China Mobile Ltd,3623000,60000000,China
China Molybdenum Co Ltd,1483000,1000000,China
China Motor Corp,2337000,3000000,Taiwan
China National Building Material Co Ltd,3736000,5000000,China
China Northern Rare Earth Group High-Tech Co Ltd,670000,4000000,China
China Overseas Land & Investment Ltd,18410000,75000000,China
China Pacific Insurance Group Co Ltd A,1533000,11000000,China
China Pacific Insurance Group Co Ltd H,1298000,8000000,China
China Petroleum & Chemical Corp,56296000,57000000,China
China Railway Construction Corp Ltd A,1164000,4000000,China
China Railway Group Ltd A,2734000,7000000,China
China Resources Enterprise Ltd,773000,2000000,China
China Resources Gas Group Ltd,532000,2000000,China
China Resources Land Ltd,1537000,5000000,China
China Resources Power Holdings Co Ltd,1179000,4000000,China
China Shenhua Energy Co Ltd A,1059000,4000000,China
China Shenhua Energy Co Ltd H,3047000,10000000,China
China Shipbuilding Industry Co Ltd,2884000,6000000,China
China State Construction Engineering Corp Ltd,6905000,11000000,China
China Steel Chemical Corp,581000,3000000,Taiwan
China Steel Corp,23093000,24000000,Taiwan
China Taiping Insurance Holdings Co Ltd,441000,2000000,China
China Telecom Corp Ltd,11274000,9000000,China
China Unicom Hong Kong Ltd,2048000,4000000,China
China United Network Communications Ltd,4191000,5000000,China
China Vanke Co Ltd A,4254000,12000000,China
China Vanke Co Ltd H,862000,3000000,China
China Yangtze Power Co Ltd,2346000,5000000,China
Chipbond Technology Corp,931000,2000000,Taiwan
Chongqing Rural Commercial Bank Co Ltd,3739000,3000000,China
Chorus Ltd,808000,2000000,New Zealand
Chow Tai Fook Jewellery Group Ltd,1159000,2000000,Hong Kong
Christian Dior SE,105000,25000000,France
Chroma ATE Inc,704000,2000000,Taiwan
Chubb Corp/The,439000,56000000,United States
Chugai Pharmaceutical Co Ltd,208000,8000000,Japan
Chugoku Bank Ltd/The,685000,13000000,Japan
Chunghwa Telecom Co Ltd,2594000,10000000,Taiwan
Chunghwa Telecom Co Ltd Depositary Receipt,460000,19000000,Taiwan
Church & Dwight Co Inc,126000,14000000,United States
Cia Brasileira de Distribuicao Depositary Receipt,162000,6000000,Brazil
Cia Cervecerias Unidas SA Depositary Receipt,116000,3000000,Chile
Cia Energetica de Minas Gerais Depositary Receipt,1198000,6000000,Brazil
Cia Energetica de Sao Paulo Preference,322000,3000000,Brazil
Cia General de Electricidad SA,192000,2000000,Chile
Cia Paranaense de Energia Depositary Receipt,136000,2000000,Brazil
Cia Siderurgica Nacional SA Depositary Receipt,1533000,3000000,Brazil
Cia de Minas Buenaventura SAA Depositary Receipt,359000,5000000,Peru
Cia de Saneamento Basico do Estado de Sao Paulo Depositary Receipt,529000,4000000,Brazil
Cie Financiere Richemont SA,96000,10000000,Switzerland
Cie Generale des Etablissements Michelin,321000,40000000,France
Cielo SA,947000,17000000,Brazil
Cigna Corp,182000,30000000,United States
Cimarex Energy Co,55000,8000000,United States
Cincinnati Financial Corp,210000,14000000,United States
Cintas Corp,318000,33000000,United States
Cirrus Logic Inc,113000,5000000,United States
Cisco Systems Inc,8656000,302000000,United States
Citigroup Inc,5920000,386000000,United States
Citizens Financial Group Inc,4000000,122000000,United States
Citrix Systems Inc,685000,55000000,United States
City Developments Ltd,557000,5000000,Singapore
Citycon OYJ,88999000,366000000,Finland
Cleanaway Co Ltd,143000,1000000,Taiwan
Clevo Co,1104000,2000000,Taiwan
Cliffs Natural Resources Inc,678000,4000000,United States
Clorox Co/The,150000,21000000,United States
Cloud Peak Energy Inc,733000,5000000,United States
Coca-Cola Amatil Ltd,925000,10000000,Australia
Coca-Cola Co/The,4711000,242000000,United States
Coca-Cola East Japan Co Ltd,195000,5000000,Japan
Coca-Cola Enterprises Inc,955000,53000000,United States
Coca-Cola Femsa SAB de CV,942000,10000000,Mexico
Coca-Cola HBC AG,194000,4000000,Switzerland
Coca-Cola Icecek AS,80000,2000000,Turkey
Coca-Cola West Co Ltd,160000,3000000,Japan
Cognizant Technology Solutions Corp,760000,60000000,United States
Colbun SA,13920000,5000000,Chile
Colgate-Palmolive Co,903000,79000000,United States
Coloplast A/S,344000,33000000,Denmark
Colruyt SA,568000,31000000,Belgium
Com2uSCorp,5000,1000000,South Korea
Comcast Corp Special,33000,2000000,United States
Comerica Inc,368000,21000000,United States
ComfortDelGro Corp Ltd,4764000,13000000,Singapore
Commerzbank AG,1794000,31000000,Germany
Commonwealth Bank of Australia,1730000,156000000,Australia
Community Health Systems Inc,97000,6000000,United States
Compal Electronics Inc,9817000,10000000,Taiwan
Compass Group PLC,779000,17000000,United Kingdom
Computer Sciences Corp,471000,39000000,United States
Computershare Ltd,524000,6000000,Australia
Comstock Resources Inc,553000,2000000,United States
Con-way Inc,35000,2000000,United States
ConAgra Foods Inc,224000,10000000,United States
Concho Resources Inc,126000,18000000,United States
ConocoPhillips,1263000,100000000,United States
Consolidated Edison Inc,547000,42000000,United States
Continental AG,127000,38000000,Germany
Cooper Tire & Rubber Co,21000,1000000,United States
Core Laboratories NV,66000,9000000,United States
Coretronic Corp,1702000,3000000,Taiwan
Corning Inc,2684000,77000000,United States
Coronation Fund Managers Ltd,463000,5000000,South Africa
Corpbanca SA,324134000,4000000,Chile
Cosan Ltd Depositary Receipt,256000,2000000,Brazil
Costamare Inc,48000,1000000,Greece
Costco Wholesale Corp,503000,96000000,United States
Coty Inc,97000,3000000,United States
Coway Co Ltd,78000,8000000,South Korea
Credicorp Ltd,120000,21000000,Peru
Credit Agricole SA,1966000,37000000,France
Credit Saison Co Ltd,531000,12000000,Japan
Credit Suisse Group AG,1878000,64000000,Switzerland
Crown Castle International Corp,636000,66000000,United States
Ctrip.com International Ltd Depositary Receipt,85000,6000000,China
Cummins Inc,118000,21000000,United States
Cyfrowy Polsat SA,297000,2000000,Poland
DBS Group Holdings Ltd,4081000,77000000,Singapore
DENTSPLY International Inc,101000,7000000,United States
DIC Corp,1069000,4000000,Japan
DLF Ltd,672000,2000000,India
DMCI Holdings Inc,8190000,4000000,Philippines
DNB ASA,1000000,20000000,Norway
DSW Inc,74000,3000000,United States
Daelim Industrial Co Ltd,75000,6000000,South Korea
Daesang Corp,32000,2000000,South Korea
Daewoo Engineering & Construction Co Ltd,226000,2000000,South Korea
Daewoo Securities Co Ltd,157000,2000000,South Korea
Daewoo Shipbuilding & Marine Engineering Co Ltd,122000,3000000,South Korea
Dai Nippon Printing Co Ltd,1934000,24000000,Japan
Dai-ichi Life Insurance Co Ltd/The,3824000,70000000,Japan
Daicel Corp,689000,10000000,Japan
Daihatsu Motor Co Ltd,190000,4000000,Japan
Daiichi Sankyo Co Ltd,2665000,54000000,Japan
Daikin Industries Ltd,610000,52000000,Japan
Daimler AG,108000,13000000,Germany
Dairy Farm International Holdings Ltd,407000,5000000,Hong Kong
Daito Trust Construction Co Ltd,299000,42000000,Japan
Daiwa House Industry Co Ltd,2032000,51000000,Japan
Daiwa Securities Group Inc,3953000,39000000,Japan
Dalian Wanda Commercial Properties Co Ltd,340000,3000000,China
Dana Holding Corp,627000,17000000,United States
Danaher Corp,86000,9000000,United States
Danone SA,866000,74000000,France
Danske Bank A/S,1319000,44000000,Denmark
Daqin Railway Co Ltd,3030000,7000000,China
Darden Restaurants Inc,148000,13000000,United States
Dassault Systemes,120000,10000000,France
Datang International Power Generation Co Ltd,3365000,2000000,China
Daum Kakao Corp,18000,2000000,South Korea
DeVry Education Group Inc,226000,10000000,United States
Dean Foods Co,209000,4000000,United States
Deckers Outdoor Corp,95000,9000000,United States
Delek Group Ltd,10000,3000000,Israel
Delhaize Group SA,360000,41000000,Belgium
Delta Air Lines Inc,698000,40000000,United States
Delta Electronics Inc,3214000,26000000,Taiwan
Delta Electronics Thailand PCL,633000,2000000,Thailand
Dena Co Ltd,584000,15000000,Japan
Denbury Resources Inc,1109000,10000000,United States
Denso Corp,795000,46000000,Japan
Dentsu Inc,233000,13000000,Japan
Det Norske Oljeselskap ASA,162000,1000000,Norway
Deutsche Bank AG,1747000,77000000,Germany
Deutsche Boerse AG,172000,18000000,Germany
Deutsche Telekom AG,6333000,147000000,Germany
Dexus Property Group,966000,7000000,Australia
DiGi.Com Bhd,4664000,10000000,Malaysia
Diageo PLC,1115000,39000000,United Kingdom
Dialog Group BHD,5913000,3000000,Malaysia
Diamond Offshore Drilling Inc,45000,2000000,United States
Diana Shipping Inc,146000,1000000,Greece
Digital Realty Trust Inc,216000,18000000,United States
Dillard's Inc,161000,28000000,United States
Direct Line Insurance Group PLC,855000,5000000,United Kingdom
Discover Financial Services,808000,58000000,United States
Discovery Ltd,597000,8000000,South Africa
Distell Group Ltd,81000,1000000,South Africa
Dolby Laboratories Inc,103000,5000000,United States
Domtar Corp,345000,20000000,United States
Dong-E-E-Jiao Co Ltd,263000,2000000,China
Dongbu Insurance Co Ltd,91000,5000000,South Korea
Dongfeng Motor Group Co Ltd,3857000,8000000,China
Dongyue Group Ltd,2463000,1000000,China
Doosan Corp,28000,4000000,South Korea
Doosan Heavy Industries & Construction Co Ltd,164000,5000000,South Korea
Doosan Infracore Co Ltd,93000,1000000,South Korea
Dow Chemical Co/The,2175000,132000000,United States
Dowa Holdings Co Ltd,817000,9000000,Japan
Dr Pepper Snapple Group Inc,496000,49000000,United States
Dragon Oil PLC,336000,4000000,Ireland
Dril-Quip Inc,108000,9000000,United States
DryShips Inc,1161000,1000000,Greece
Duke Energy Corp,438000,43000000,United States
Dun & Bradstreet Corp/The,127000,21000000,United States
Dunkin' Brands Group Inc,66000,4000000,United States
E-Mart Co Ltd,26000,7000000,South Korea
E.ON SE,1515000,29000000,Germany
E.Sun Financial Holding Co Ltd,10657000,8000000,Taiwan
EDP - Energias de Portugal SA,1139000,5000000,Portugal
EI du Pont de Nemours & Co,1515000,137000000,United States
EMC Corp/MA,3474000,112000000,United States
ENTEL Chile SA,200000,3000000,Chile
EOG Resources Inc,628000,73000000,United States
EXOR SpA,96000,6000000,Italy
Eagle Materials Inc,14000,2000000,United States
East Japan Railway Co,995000,101000000,Japan
Eastman Chemical Co,249000,22000000,United States
Eaton Corp PLC,159000,14000000,United States
Ebara Corp,1404000,8000000,Japan
Eclat Textile Co Ltd,327000,5000000,Taiwan
EcoRodovias Infraestrutura e Logistica SA,416000,1000000,Brazil
Ecolab Inc,332000,48000000,United States
Edison International,17000,1000000,United States
Edwards Lifesciences Corp,147000,27000000,United States
Eisai Co Ltd,1098000,99000000,Japan
El Puerto de Liverpool SAB de CV,975000,15000000,Mexico
Elbit Systems Ltd,56000,5000000,Israel
Electricity Generating PCL,267000,2000000,Thailand
Electricity Generating PCL Depositary Receipt,225000,1000000,Thailand
Electrolux AB,640000,23000000,Sweden
Electronic Arts Inc,1003000,75000000,United States
Elekta AB,483000,5000000,Sweden
Eli Lilly & Co,905000,83000000,United States
Elisa OYJ,123000,4000000,Finland
Elite Advanced Laser Corp,241000,1000000,Taiwan
Embotelladora Andina SA Depositary Receipt,103000,2000000,Chile
Embraer SA Depositary Receipt,209000,8000000,Brazil
Emerson Electric Co,58000,4000000,United States
Emlak Konut Gayrimenkul Yatirim Ortakligi AS,2365000,3000000,Turkey
Emperador Inc,6966000,2000000,Philippines
Empresa Nacional de Electricidad SA/Chile,1446000,3000000,Chile
Empresa Nacional de Electricidad SA/Chile Depositary Receipt,161000,9000000,Chile
Empresas CMPC SA,2493000,9000000,Chile
Empresas COPEC SA,958000,14000000,Chile
Endesa SA,756000,19000000,Spain
Enea SA,396000,2000000,Poland
Energa SA,359000,3000000,Poland
Energen Corp,92000,8000000,United States
Energizer Holdings Inc,180000,32000000,United States
Energy Absolute PCL Depositary Receipt,1600000,2000000,Thailand
Energy Development Corp,15098000,4000000,Philippines
Energy XXI Ltd,345000,2000000,United States
Enersis SA,7656000,3000000,Chile
Enersis SA Depositary Receipt,575000,12000000,Chile
Enersur SA,336000,1000000,Peru
Eni SpA,3416000,75000000,Italy
Enka Insaat ve Sanayi AS,1633000,4000000,Turkey
Ensco PLC,112000,3000000,United States
Entergy Corp,663000,65000000,United States
Entra ASA,101000,1000000,Norway
Envision Healthcare Holdings Inc,87000,4000000,United States
Epistar Corp,1449000,3000000,Taiwan
Equinix Inc,119000,35000000,United States
Equity Residential,727000,72000000,United States
Eregli Demir ve Celik Fabrikalari TAS,2164000,4000000,Turkey
Erste Group Bank AG,433000,13000000,Austria
Essex Property Trust Inc,130000,38000000,United States
Essilor International SA,248000,36000000,France
Estee Lauder Cos Inc/The,334000,35000000,United States
Eternal Materials Co Ltd,1538000,2000000,Taiwan
Eurobank Ergasias SA,17126000,2000000,Greece
Eurocash SA,146000,2000000,Poland
Eutelsat Communications SA,704000,30000000,France
Eva Airways Corp,2334000,2000000,Taiwan
Everest Re Group Ltd,91000,20000000,United States
Evergrande Real Estate Group Ltd,6463000,4000000,China
Evergreen Marine Corp Taiwan Ltd,1079000,1000000,Taiwan
Everlight Electronics Co Ltd,810000,2000000,Taiwan
Exelis Inc,80000,2000000,United States
Expedia Inc,63000,7000000,United States
Expeditors International of Washington Inc,325000,20000000,United States
Experian PLC,1196000,25000000,United Kingdom
Express Scripts Holding Co,364000,40000000,United States
Exxaro Resources Ltd,272000,3000000,South Africa
Exxon Mobil Corp,3107000,334000000,United States
Ezaki Glico Co Ltd,122000,6000000,Japan
F5 Networks Inc,66000,10000000,United States
FANUC Corp,384000,107000000,Japan
FF Group,57000,2000000,Greece
FIH Mobile Ltd,4577000,3000000,Taiwan
FLEXium Interconnect Inc,399000,1000000,Taiwan
FMC Corp,103000,8000000,United States
FMC Technologies Inc,122000,6000000,United States
FUJIFILM Holdings Corp,1564000,71000000,Japan
Facebook Inc,3187000,332000000,United States
FactSet Research Systems Inc,8000,2000000,United States
Fairchild Semiconductor International Inc,1017000,23000000,United States
FamilyMart Co Ltd,418000,22000000,Japan
Far EasTone Telecommunications Co Ltd,3105000,9000000,Taiwan
Far Eastern Department Stores Ltd,3213000,3000000,Taiwan
Far Eastern International Bank,4192000,2000000,Taiwan
Far Eastern New Century Corp,7059000,9000000,Taiwan
Fast Retailing Co Ltd,112000,55000000,Japan
FedEx Corp,917000,192000000,United States
Federal Realty Investment Trust,141000,26000000,United States
Felda Global Ventures Holdings Bhd,2645000,2000000,Malaysia
Feng Hsin Iron & Steel Co,811000,1000000,Taiwan
Feng TAY Enterprise Co Ltd,580000,4000000,Taiwan
Ferrovial SA,142000,4000000,Spain
Fiat Chrysler Automobiles NV,437000,9000000,Italy
Fibra Uno Administracion SA de CV,3926000,13000000,Mexico
Fibria Celulose SA Depositary Receipt,307000,5000000,Brazil
Fidelity National Information Services Inc,247000,21000000,United States
Fifth Third Bancorp,1663000,40000000,United States
Financial Street Holdings Co Ltd,1156000,3000000,China
Firich Enterprises Co Ltd,313000,1000000,Taiwan
First Financial Holding Co Ltd,12619000,10000000,Taiwan
First Pacific Co Ltd/Hong Kong,5238000,7000000,Hong Kong
First Resources Ltd,896000,2000000,Singapore
FirstRand Ltd,6144000,36000000,South Africa
Fiserv Inc,659000,66000000,United States
FleetCor Technologies Inc,32000,6000000,United States
Fletcher Building Ltd,1358000,11000000,New Zealand
Flextronics International Ltd,1224000,20000000,Singapore
Fomento Economico Mexicano SAB de CV,3969000,47000000,Mexico
Foot Locker Inc,35000,3000000,United States
Ford Motor Co,225000,5000000,United States
Ford Otomotiv Sanayi AS,85000,1000000,Turkey
Formosa Chemicals & Fibre Corp,5475000,16000000,Taiwan
Formosa International Hotels Corp,102000,1000000,Taiwan
Formosa Petrochemical Corp,3850000,11000000,Taiwan
Formosa Plastics Corp,7619000,23000000,Taiwan
Formosa Taffeta Co Ltd,1885000,3000000,Taiwan
Fortescue Metals Group Ltd,2493000,5000000,Australia
Foschini Group Ltd/The,300000,6000000,South Africa
Fossil Group Inc,577000,60000000,United States
Fosun International Ltd,3721000,9000000,Hong Kong
Foxconn Technology Co Ltd,1465000,5000000,Taiwan
Franklin Resources Inc,690000,45000000,United States
Frasers Centrepoint Ltd,762000,1000000,Singapore
Freeport-McMoRan Inc,1421000,34000000,United States
Freightways Ltd,290000,2000000,New Zealand
Fresenius Medical Care AG & Co KGaA,616000,65000000,Germany
Fresenius SE & Co KGaA,511000,38000000,Germany
